CC
CONNECTOR SIDE A*
LC
LC Metal Body
LP
LC Plastic Body
SC
SC
ST
ST
FC
FC
MT
MTRJ Female
MB
MTRJ Male
S5
SMA905
S6
SMA906
E2
E2000
ES
ESCON
FD
FDDI
D4
D4
MU
MU
LU
LC Uniboot
LF
LC Flexible boot
LS
LC Short boot
LM
Mini LC
SF
SC Flexible boot
SS
SC Short boot
