A
FIBER TYPE
1
Single Mode OS2
2
62.5/125 μm Multimode OM1
3
50/125 μm Multimode OM2
4
50/125 μm Multimode OM3
5
50/125 μm Multimode OM4
B
50/125 μm Multimode OM2
Bend Insensitive
C
50/125 μm Multimode OM3
Bend Insensitive
D
50/125 μm Multimode OM4
Bend Insensitive
E
Single Mode OS2
Bend Insensitive
yellow Jacket
H
Single Mode OS2
Bend Insensitive
dark blue Jacket
